# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.946448286619825,0.4574183185456242,-2.3127957353447943,0,3.0,0.8248521352749741,0.0,0.0,0.009520805692944029
 0.05576450897235986,1.951109007628372,0.45723008209612886,-2.3127957353447943,0.16729352691707958,3.0,0.8248521352749741,0.0005309230544882721,9.360322448042277,0.06571797660865052
 0.0799996635944252,1.9560411357650727,0.45705044050259064,-2.0859468735041005,0.23999899078327563,3.000000000000001,0.6981249597652556,0.0021236083790481908,10.482574665860403,0.13719820211821482
 0.09934536966183023,1.961242659459998,0.4568794191947295,-1.8831540651887386,0.2980361089854907,2.999999999999999,0.5967366518389772,0.004777804470203601,10.787841700122282,0.21961250768836668
 0.11626283838219972,1.9667115671432198,0.45671704360226567,-1.7006510906666221,0.3487885151465992,3.000000000000001,0.514628114017499,0.008493092199623449,10.71322166867925,0.30964524472486865
 0.13168627136572988,1.9724458472448099,0.45656333915491915,-1.5354164342220447,0.3950588140971897,3.0,0.4474021232918888,0.013268884880306257,10.44654046215274,0.40527775182635434
 0.14608514584778953,1.978443488194839,0.45641833128241,-1.38499800933575,0.4382554375433686,2.9999999999999982,0.39181457012484705,0.019104428359225253,10.083374695902997,0.505174672756869
 0.1597326486799631,1.9847024784233793,0.45628204541445844,-1.2473851246155465,0.47919794603988924,2.999999999999998,0.34543623691396413,0.025998801136416973,9.676167896606682,0.6084050476996959
 0.17280307504172226,1.991220806360502,0.4561545069807844,-1.1209134846589308,0.5184092251251667,2.999999999999998,0.30642340535653223,0.03395091451049843,9.254761553433177,0.7142955874774564
 0.18541493825076044,1.9979964604362783,0.4560357414111082,-1.0041936979147659,0.5562448147522813,3.0,0.2733594249072548,0.04295951275058367,8.836340249127144,0.8223456792162731
 0.1976526878958809,2.005027429080781,0.4559257741351497,-0.8960567781668467,0.5929580636876427,3.0000000000000067,0.2451434684884328,0.05302317329457895,8.430698625940744,0.9321747687864408
 0.20957870654763888,2.0123117007240796,0.4558246305826291,-0.7955121091065269,0.6287361196429166,2.999999999999998,0.2209112307793895,0.06414030697382424,8.04320104074911,1.043488168926102
 0.22124041163696026,2.019847263796247,0.4557323361832665,-0.701714670595188,0.6637212349108809,3.000000000000007,0.19997760741126214,0.0763091582640364,7.6765152833304,1.1560540030874729
 0.23267469348122663,2.0276321067273546,0.45564891636678195,-0.6139392312637699,0.69802408044368,3.000000000000005,0.18179472895383716,0.08952780556253095,7.33165912269606,1.2696871961332492
 0.2439108120879047,2.0356642179474735,0.4555743965628956,-0.5315598397774237,0.7317324362637142,3.0,0.16592087163549862,0.10379416149166465,7.008645959954979,1.3842380895960846
 0.25497235695643067,2.0439415858866754,0.4555088022013276,-0.4540333880237684,0.7649170708692922,3.0000000000000027,0.15199717010085426,0.11910597322845443,6.706889290417701,1.4995841828475711
 0.2658786133833408,2.052462198975032,0.4554521587117979,-0.3808863335955757,0.7976358401500225,3.0,0.13972999952432116,0.1354608228603285,6.425458534629996,1.6156240396577712
 0.27664553964812544,2.061224045642614,0.4554044915240266,-0.31170389533578335,0.8299366189443764,2.9999999999999947,0.12887751353064583,0.15285612776693724,6.1632415307722495,1.7322727262398712
 0.28728648144777963,2.070225114319494,0.4553658260677339,-0.24612120090962422,0.861859444343339,3.0000000000000053,0.11923927274632178,0.171289141027984,5.919047553859277,1.849458351945295
 0.2978127043327295,2.0794633934357427,0.45533618777263984,-0.18381598709108415,0.8934381129981886,3.0,0.11064818237240716,0.19075695185699224,5.691672020720365,1.967119416292331
 0.3082337972436007,2.0889368714214323,0.45531560206846455,-0.12450254414495103,0.9247013917308022,2.9999999999999893,0.10296417827961722,0.2112564860609534,5.479936329010097,2.0852027537783555
 0.3185579829496752,2.098643536706634,0.4553040943849281,-0.06792666382678683,0.9556739488490257,3.0000000000000053,0.09606924557340128,0.232784506525779,5.2827114933862775,2.2036619272926004
 0.328792360066408,2.1085813777214186,0.45530169015175054,-0.013861402204572921,0.986377080199224,2.9999999999999893,0.08986346023268013,0.2553376137274777,5.098931221787534,2.3224559618857663
 0.33894309399996236,2.1187483828958587,0.45530841479865203,0.03789649197328564,1.016829281999887,2.999999999999989,0.08426182522207029,0.2789122462689772,4.927598140766934,2.44154833933401
 0.3490155692310875,2.129142540660025,0.4553242937553526,0.0875296021950989,1.0470467076932624,2.9999999999999947,0.07919172316157724,0.30350468144251375,4.767785621833065,2.560906194334938
 0.3590145119614462,2.139761839443989,0.45534935245157243,0.1352024175784352,1.0770435358843382,2.999999999999983,0.07459085577856178,0.3291110358174896,4.618636836412561,2.6804996678862327
 0.3689440897767679,2.1506042676778234,0.4553836163170315,0.18106353144630508,1.1068322693303032,2.999999999999983,0.07040556674540785,0.35572726585370995,4.479362123164362,2.800301384124821
 0.37880799329900605,2.1616678137915986,0.45542711078145,0.22524752727036618,1.1364239798970177,3.0000000000000058,0.06658946944657149,0.38334916853990714,4.349235383697034,2.9202860248105216
 0.38860950358750374,2.172950466215386,0.455479861274548,0.26787660263077084,1.1658285107625108,3.0000000000000058,0.06310231928076522,0.41197238205744346,4.227589983302197,3.040429981548619
 0.3983515481638978,2.1844502133792574,0.45554189322604555,0.3090619726988178,1.195054644491693,3.0,0.05990908116790389,0.44159238646909504,4.113814464538606,3.1607110702635888
